system_ser_no|system_mat_no|strahler_ser_no|strahler_mat_no|date_deliver|plane|scan_counter|marker
74541|10430603|675242074|10414539|07/08/2020 00:00:00|A|1825|green
66705|8098027|604262071|10141785|07/07/2020 00:00:00|A|871|green
95684|8098027|603262072|10141785|07/07/2020 00:00:00|A|1102|green
64816|8098027|258252004|10141785|07/07/2020 00:00:00|A|1286|green
64208|8098027|270262002|10141785|07/06/2020 00:00:00|A|5723|green
64706|8098027|267252004|10141785|07/06/2020 00:00:00|A|969|green
74457|10430603|416262001|10414539|07/06/2020 00:00:00|A|2398|outdated
92351|8098027|602262073|10141785|07/03/2020 00:00:00|A|2525|yellow
67055|8098027|676242072|10141785|07/03/2020 00:00:00|A|2566|green
